,Month and Year,Total precipitation (inches),Region,Average temperature (°F)
145,Feb-2012,1.46,Northeast,30.6
146,Mar-2012,2.14,Northeast,43.4
147,Apr-2012,2.95,Northeast,46.0
148,May-2012,4.62,Northeast,60.5
149,Jun-2012,4.32,Northeast,64.8
150,Jul-2012,3.37,Northeast,72.1
151,Aug-2012,3.84,Northeast,69.6
152,Sep-2012,4.92,Northeast,60.5
153,Oct-2012,5.66,Northeast,51.6
154,Nov-2012,1.1,Northeast,36.5
155,Dec-2012,5.15,Northeast,32.4
156,Jan-2013,2.29,Northeast,25.0
157,Feb-2013,2.56,Northeast,25.3
158,Mar-2013,2.29,Northeast,32.7
159,Apr-2013,2.71,Northeast,45.1
160,May-2013,4.37,Northeast,57.2
161,Jun-2013,7.26,Northeast,65.3
162,Jul-2013,4.93,Northeast,72.0
163,Aug-2013,4.01,Northeast,66.6
164,Sep-2013,3.47,Northeast,59.6
165,Oct-2013,2.84,Northeast,51.5
166,Nov-2013,3.71,Northeast,36.0
167,Dec-2013,3.9,Northeast,26.6
168,Jan-2014,2.82,Northeast,18.6
169,Feb-2014,3.3,Northeast,21.0
170,Mar-2014,3.35,Northeast,26.0
171,Apr-2014,3.74,Northeast,44.6
172,May-2014,4.66,Northeast,56.9
173,Jun-2014,4.59,Northeast,65.7
174,Jul-2014,5.46,Northeast,68.9
175,Aug-2014,3.74,Northeast,66.2
176,Sep-2014,1.93,Northeast,60.9
177,Oct-2014,4.52,Northeast,51.9
178,Nov-2014,3.06,Northeast,36.0
179,Dec-2014,4.19,Northeast,31.6
180,Jan-2015,2.91,Northeast,18.7
181,Feb-2015,1.9,Northeast,12.1
182,Mar-2015,2.45,Northeast,27.8
183,Apr-2015,3.2,Northeast,44.6
184,May-2015,2.46,Northeast,61.2
185,Jun-2015,7.57,Northeast,63.8
186,Jul-2015,3.79,Northeast,69.0
187,Aug-2015,3.02,Northeast,68.8
188,Sep-2015,4.51,Northeast,65.4
189,Oct-2015,3.93,Northeast,48.4
190,Nov-2015,2.21,Northeast,43.1
191,Dec-2015,4.53,Northeast,39.4
192,Jan-2016,2.24,Northeast,24.7
193,Feb-2016,4.36,Northeast,28.1
194,Mar-2016,2.5,Northeast,38.8
195,Apr-2016,2.57,Northeast,43.4
196,May-2016,3.26,Northeast,56.2
197,Jun-2016,3.09,Northeast,65.1
198,Jul-2016,3.79,Northeast,71.2
199,Aug-2016,4.03,Northeast,71.4
200,Sep-2016,2.89,Northeast,63.8
201,Oct-2016,4.36,Northeast,51.4
202,Nov-2016,2.49,Northeast,41.0
203,Dec-2016,3.73,Northeast,28.3
204,Jan-2017,3.54,Northeast,28.9
205,Feb-2017,2.59,Northeast,31.4
206,Mar-2017,3.46,Northeast,30.3
207,Apr-2017,4.4,Northeast,49.7
208,May-2017,5.88,Northeast,54.9
209,Jun-2017,4.38,Northeast,65.0
210,Jul-2017,5.02,Northeast,69.3
211,Aug-2017,3.57,Northeast,66.4
212,Sep-2017,2.52,Northeast,63.3
213,Oct-2017,5.83,Northeast,55.4
214,Nov-2017,2.56,Northeast,37.4
215,Dec-2017,2.49,Northeast,24.2
216,Jan-2018,3.66,Northeast,21.0
217,Feb-2018,4.1,Northeast,30.8
218,Mar-2018,3.17,Northeast,31.9
219,Apr-2018,4.27,Northeast,40.6
220,May-2018,3.62,Northeast,60.4
221,Jun-2018,4.09,Northeast,64.2
222,Jul-2018,5.54,Northeast,71.5
223,Aug-2018,5.29,Northeast,71.3
224,Sep-2018,6.23,Northeast,64.2
225,Oct-2018,4.52,Northeast,49.0
226,Nov-2018,6.52,Northeast,34.5
227,Dec-2018,3.97,Northeast,29.3
228,Jan-2019,4.64,Northeast,21.9
229,Feb-2019,3.06,Northeast,25.6
230,Mar-2019,2.53,Northeast,31.4
231,Apr-2019,4.83,Northeast,46.4
232,May-2019,5.4,Northeast,55.8
233,Jun-2019,5.09,Northeast,64.1
234,Jul-2019,4.31,Northeast,72.0
235,Aug-2019,3.96,Northeast,68.1
236,Sep-2019,2.47,Northeast,61.6
237,Oct-2019,6.02,Northeast,51.4
238,Nov-2019,3.14,Northeast,34.4
239,Dec-2019,4.19,Northeast,29.0
240,Jan-2020,2.82,Northeast,28.8
241,Jan-2000,1.0,Upper Midwest,15.9
242,Feb-2000,1.25,Upper Midwest,26.4
243,Mar-2000,1.29,Upper Midwest,38.9
244,Apr-2000,2.01,Upper Midwest,44.0
245,May-2000,4.0,Upper Midwest,58.1
246,Jun-2000,5.5,Upper Midwest,63.6
247,Jul-2000,3.9,Upper Midwest,68.6
248,Aug-2000,3.21,Upper Midwest,68.4
249,Sep-2000,2.71,Upper Midwest,59.0
250,Oct-2000,1.62,Upper Midwest,50.8
251,Nov-2000,2.82,Upper Midwest,31.9
252,Dec-2000,1.59,Upper Midwest,8.6
253,Jan-2001,1.13,Upper Midwest,19.4
254,Feb-2001,1.87,Upper Midwest,14.5
255,Mar-2001,0.78,Upper Midwest,27.6
256,Apr-2001,4.33,Upper Midwest,46.8
257,May-2001,5.06,Upper Midwest,57.8
258,Jun-2001,3.97,Upper Midwest,65.5
259,Jul-2001,2.84,Upper Midwest,70.9
260,Aug-2001,3.41,Upper Midwest,70.2
261,Sep-2001,3.52,Upper Midwest,58.3
262,Oct-2001,3.0,Upper Midwest,46.9
263,Nov-2001,2.08,Upper Midwest,43.5
264,Dec-2001,1.09,Upper Midwest,27.5
265,Jan-2002,0.53,Upper Midwest,23.9
266,Feb-2002,1.27,Upper Midwest,26.6
267,Mar-2002,1.75,Upper Midwest,25.0
268,Apr-2002,3.29,Upper Midwest,43.5
269,May-2002,3.2,Upper Midwest,51.6
270,Jun-2002,4.73,Upper Midwest,67.7
271,Jul-2002,4.11,Upper Midwest,73.3
272,Aug-2002,4.84,Upper Midwest,68.0
273,Sep-2002,2.65,Upper Midwest,62.5
274,Oct-2002,3.23,Upper Midwest,42.1
275,Nov-2002,0.58,Upper Midwest,31.5
276,Dec-2002,0.58,Upper Midwest,24.7
277,Jan-2003,0.44,Upper Midwest,14.4
278,Feb-2003,0.71,Upper Midwest,14.5
279,Mar-2003,1.4,Upper Midwest,29.4
280,Apr-2003,2.64,Upper Midwest,44.3
281,May-2003,4.18,Upper Midwest,54.7
282,Jun-2003,3.8,Upper Midwest,64.0
283,Jul-2003,3.45,Upper Midwest,69.4
284,Aug-2003,1.74,Upper Midwest,70.7
285,Sep-2003,3.1,Upper Midwest,59.3
286,Oct-2003,1.42,Upper Midwest,48.1
287,Nov-2003,2.83,Upper Midwest,32.6
288,Dec-2003,1.24,Upper Midwest,25.0
289,Jan-2004,1.1,Upper Midwest,11.2
290,Feb-2004,1.17,Upper Midwest,20.3
291,Mar-2004,2.75,Upper Midwest,34.5
292,Apr-2004,1.81,Upper Midwest,45.6
293,May-2004,6.75,Upper Midwest,54.3
294,Jun-2004,3.45,Upper Midwest,62.6
295,Jul-2004,3.78,Upper Midwest,67.5
296,Aug-2004,3.36,Upper Midwest,62.9
297,Sep-2004,3.13,Upper Midwest,63.5
298,Oct-2004,3.05,Upper Midwest,48.7
299,Nov-2004,1.7,Upper Midwest,37.0
300,Dec-2004,1.42,Upper Midwest,21.3
301,Jan-2005,1.78,Upper Midwest,13.9
302,Feb-2005,1.27,Upper Midwest,24.8
303,Mar-2005,1.03,Upper Midwest,28.9
304,Apr-2005,2.06,Upper Midwest,48.7
